tld,Sunrise (Start/End Date Sunrise),open,close
xn--45q11c,Start Date Sunrise,15-Oct-15,14-Nov-15
allfinanz,End Date Sunrise,7-Sep-15,6-Nov-15
family,End Date Sunrise,10-Nov-15,9-Jan-16
accenture,Spec 13 - .BRAND TLD,,
spreadbetting,Start Date Sunrise,8-Oct-15,8-Nov-15
cfd,Start Date Sunrise,8-Oct-15,8-Nov-15
starhub,Spec 13 - .BRAND TLD,,
genting,Spec 13 - .BRAND TLD,,
LECLERC,Spec 13 - .BRAND TLD,,
rio,Start Date Sunrise,5-Dec-14,9-Jan-15
porn,Start Date Sunrise,2-Mar-15,1-Apr-15
adult,Start Date Sunrise,2-Mar-15,1-Apr-15
trading,Start Date Sunrise,8-Oct-15,8-Nov-15
movie,End Date Sunrise,16-Jun-15,15-Aug-15
FANS,End Date Sunrise,16-Jun-15,15-Aug-15
ooo,Start Date Sunrise,22-Sep-14,22-Oct-14
google,Spec 13 - .BRAND TLD,,
SCOR,Spec 13 - .BRAND TLD,,
SRL,Start Date Sunrise,22-Sep-15,22-Oct-15
bradesco,Spec 13 - .BRAND TLD,,
dabur,Spec 13 - .BRAND TLD,,
study,End Date Sunrise,11-Aug-15,10-Oct-15
bridgestone,Spec 13 - .BRAND TLD,,
nec,Spec 13 - .BRAND TLD,,
brother,Spec 13 - .BRAND TLD,,
toray,Spec 13 - .BRAND TLD,,
honda,Spec 13 - .BRAND TLD,,
studio,End Date Sunrise,18-Aug-15,17-Oct-15
live,End Date Sunrise,18-Aug-15,17-Oct-15
xn--hxt814e,Start Date Sunrise,1-Sep-15,9-Oct-15
frogans,Spec 13 - .BRAND TLD,,
gdn,End Date Sunrise,31-Aug-15,28-Nov-15
xn--nyqy26a,Start Date Sunrise,22-Sep-15,22-Oct-15
TIROL,End Date Sunrise,25-Nov-14,4-Mar-15
swiss,End Date Sunrise,7-Sep-15,9-Nov-15
xn--p1acf,Start Date Sunrise,3-Sep-15,6-Oct-15
nadex,Spec 13 - .BRAND TLD,,
sakura,End Date Sunrise,23-Jul-15,22-Sep-15
sex,Start Date Sunrise,1-Sep-15,1-Oct-15
komatsu,Spec 13 - .BRAND TLD,,
jprs,End Date Sunrise,23-Jul-15,22-Sep-15
courses,End Date Sunrise,15-Jul-15,13-Sep-15
BENTLEY,Spec 13 - .BRAND TLD,,
Miami,End Date Sunrise,20-Jul-15,18-Sep-15
sony,Spec 13 - .BRAND TLD,,
PIAGET,Spec 13 - .BRAND TLD,,
CHLOE,Spec 13 - .BRAND TLD,,
PANERAI,Spec 13 - .BRAND TLD,,
OMEGA,Spec 13 - .BRAND TLD,,
SWATCH,Spec 13 - .BRAND TLD,,
lupin,Spec 13 - .BRAND TLD,,
tatar,End Date Sunrise,28-Aug-14,27-Oct-14
markets,Start Date Sunrise,18-May-15,17-Jun-15
statoil,Spec 13 - .BRAND TLD,,
aeg,Spec 13 - .BRAND TLD,,
xin,Start Date Sunrise,6-Aug-15,5-Sep-15
cba,Spec 13 - .BRAND TLD,,
commbank,Spec 13 - .BRAND TLD,,
netbank,Spec 13 - .BRAND TLD,,
mma,End Date Sunrise,2-Jul-15,31-Aug-15
sncf,Spec 13 - .BRAND TLD,,
men,End Date Sunrise,9-Jul-15,7-Sep-15
afl,Spec 13 - .BRAND TLD,,
nico,Spec 13 - .BRAND TLD,,
Irish,End Date Sunrise,17-Mar-15,16-May-15
ski,End Date Sunrise,1-Jul-15,30-Aug-15
epson,Spec 13 - .BRAND TLD,,
shriram,Start Date Sunrise,3-Aug-15,2-Sep-15
sandvikcoromant,Spec 13 - .BRAND TLD,,
sandvik,Spec 13 - .BRAND TLD,,
walter,Spec 13 - .BRAND TLD,,
amsterdam,Start Date Sunrise,28-Apr-15,28-May-15
oracle,Spec 13 - .BRAND TLD,,
java,Spec 13 - .BRAND TLD,,
yokohama,End Date Sunrise,5-Jun-14,4-Aug-14
bbva,Spec 13 - .BRAND TLD,,
canon,Spec 13 - .BRAND TLD,,
DNP,Spec 13 - .BRAND TLD,,
mba,End Date Sunrise,23-Jun-15,22-Aug-15
fyi,End Date Sunrise,23-Jun-15,22-Aug-15
Philips,Spec 13 - .BRAND TLD,,
taipei,Start Date Sunrise,1-Dec-14,31-Dec-14
SUCKS,End Date Sunrise,30-Mar-15,19-Jun-15
sener,Spec 13 - .BRAND TLD,,
lol,End Date Sunrise,1-Jun-15,31-Jul-15
coupons,End Date Sunrise,16-Jun-15,15-Aug-15
soccer,End Date Sunrise,16-Jun-15,15-Aug-15
mango,Start Date Sunrise,1-Jul-15,2-Aug-15
active,Spec 13 - .BRAND TLD,,
abb,Spec 13 - .BRAND TLD,,
weir,Spec 13 - .BRAND TLD,,
HERMES,Spec 13 - .BRAND TLD,,
online,End Date Sunrise,18-Jun-15,17-Aug-15
erni,End Date Sunrise,21-May-15,20-Jul-15
theater,End Date Sunrise,9-Jun-15,8-Aug-15
run,End Date Sunrise,9-Jun-15,8-Aug-15
taxi,End Date Sunrise,9-Jun-15,8-Aug-15
hockey,End Date Sunrise,9-Jun-15,8-Aug-15
loan,End Date Sunrise,4-Jun-15,3-Aug-15
download,End Date Sunrise,4-Jun-15,3-Aug-15
accountant,End Date Sunrise,4-Jun-15,3-Aug-15
win,End Date Sunrise,4-Jun-15,3-Aug-15
racing,End Date Sunrise,4-Jun-15,3-Aug-15
cfa,Spec 13 - .BRAND TLD,,
cuisinella,Spec 13 - .BRAND TLD,,
schmidt,Spec 13 - .BRAND TLD,,
latrobe,Spec 13 - .BRAND TLD,,
cbn,Spec 13 - .BRAND TLD,,
BBC,Spec 13 - .BRAND TLD,,
maif,Spec 13 - .BRAND TLD,,
tech,End Date Sunrise,25-May-15,24-Jul-15
show,End Date Sunrise,19-May-15,18-Jul-15
dog,End Date Sunrise,9-Jun-15,8-Aug-15
team,End Date Sunrise,19-May-15,18-Jul-15
jewelry,End Date Sunrise,19-May-15,18-Jul-15
flsmidth,Spec 13 - .BRAND TLD,,
love,End Date Sunrise,6-May-15,5-Jul-15
toshiba,Spec 13 - .BRAND TLD,,
uol,Spec 13 - .BRAND TLD,,
kddi,Spec 13 - .BRAND TLD,,
PHARMACY,End Date Sunrise,15-Jan-15,16-Mar-15
xn--kcrx77d1x4a,Spec 13 - .BRAND TLD,,
LAT,End Date Sunrise,16-Feb-15,30-Apr-15
ntt,Spec 13 - .BRAND TLD,,
cern,Spec 13 - .BRAND TLD,,
faith,End Date Sunrise,27-Apr-15,29-Jun-15
review,End Date Sunrise,27-Apr-15,29-Jun-15
date,End Date Sunrise,27-Apr-15,29-Jun-15
cafe,End Date Sunrise,5-May-15,4-Jul-15
express,End Date Sunrise,5-May-15,4-Jul-15
news,End Date Sunrise,5-May-15,4-Jul-15
site,End Date Sunrise,7-May-15,6-Jul-15
aquarelle,Spec 13 - .BRAND TLD,,
tours,End Date Sunrise,28-Apr-15,27-Jun-15
golf,End Date Sunrise,28-Apr-15,27-Jun-15
plus,End Date Sunrise,28-Apr-15,27-Jun-15
gold,End Date Sunrise,28-Apr-15,27-Jun-15
citic,Start Date Sunrise,3-Jun-14,3-Jul-14
xn--fiQ64B,Start Date Sunrise,3-Jun-14,3-Jul-14
sky,Spec 13 - .BRAND TLD,,
sew,Spec 13 - .BRAND TLD,,
bloomberg,Spec 13 - .BRAND TLD,,
osaka,Start Date Sunrise,9-Feb-15,11-Mar-15
TRUST,End Date Sunrise,18-Dec-14,7-Mar-15
